city,price,sqft_price,posted_by,bhk,property_type,location,transaction,furnishing,bathroom,balcony,facing,overlooking,ownership,super_area_sqft,ready_to_move,covered_parking,open_parking,facility_score,floor_number,total_floors,has_overlooking,floor_ratio,log_price,floor_category,total_parking,has_parking,price_in_lakhs,area_per_bhk,lat,lon,price_segment,price_segment_by_city
chennai,6459999.999999999,6509.0,builder: provident housing ltd.,2,flat,kelambakkam,new property,unfurnished,2.0,2.0,east,insignificant,freehold,993.0,0,1,0,0,4.0,10.0,0,0.4,15.681140030557534,mid,1,1,64.6,496.5,12.8012825,80.1991871,Budget,Affordable
chennai,14600000.0,9041.0,builder: kg builders,3,flat,tondiarpet,new property,unfurnished,3.0,2.0,north,insignificant,freehold,1619.0,0,1,0,0,4.0,10.0,0,0.4,16.496532155171714,mid,1,1,146.0,539.6666666666666,13.1275202,80.2819242,Affordable,Mid-range
chennai,13700000.000000002,5314.0,unknown,4,flat,kundrathur,new property,unfurnished,4.0,2.0,east,insignificant,freehold,2578.0,0,0,0,0,4.0,10.0,0,0.4,16.432906463791053,mid,0,0,137.00000000000003,644.5,13.0306501,80.1529176,Affordable,Mid-range
chennai,13200000.0,13378.378378378378,unknown,2,flat,pallavaram,new property,unfurnished,2.0,1.0,east,insignificant,freehold,986.6666666666666,0,0,0,0,4.0,10.0,0,0.4,16.395727463314174,mid,0,0,132.0,493.3333333333333,12.9675742,80.1520504,Affordable,Mid-range
chennai,20700000.0,11993.0,unknown,3,flat,sholinganallur,new property,unfurnished,3.0,1.0,east,insignificant,freehold,1726.0,0,0,0,0,4.0,10.0,0,0.4,16.845644306544774,mid,0,0,207.0,575.3333333333334,12.9174426,80.2164902,Mid-range,Premium
chennai,9150000.0,7124.0,unknown,3,flat,omr,new property,unfurnished,3.0,1.0,east,insignificant,freehold,1285.0,0,0,0,0,4.0,10.0,0,0.4,16.029264546541317,mid,0,0,91.5,428.3333333333333,12.8886985,80.2272652,Budget,Mid-range
chennai,60100000.0,20161.0,unknown,4,flat,anna nagar,new property,unfurnished,4.0,3.0,east,insignificant,freehold,2981.0,0,0,0,0,4.0,10.0,0,0.4,17.91152041614437,mid,0,0,601.0,745.25,13.0872004,80.2164421,Luxury,Luxury
chennai,4900000.0,4893.475366178429,unknown,2,flat,chengalpattu,new property,unfurnished,2.0,2.0,east,insignificant,freehold,1001.3333333333334,0,0,0,0,4.0,10.0,0,0.4,15.404745967162468,mid,0,0,49.0,500.6666666666667,12.9521755,80.1860309,Budget,Budget
chennai,7009999.999999999,6516.0,unknown,3,flat,siruseri,new property,unfurnished,3.0,1.0,east,insignificant,freehold,846.6666666666666,0,0,0,0,4.0,10.0,0,0.4,15.762848401664115,mid,0,0,70.1,282.22222222222223,12.8012825,80.1991871,Budget,Affordable
chennai,7590000.000000001,7977.0,unknown,2,flat,padur,new property,unfurnished,2.0,1.0,east,insignificant,freehold,1133.3333333333333,0,0,0,0,4.0,10.0,0,0.4,15.84234228112411,mid,0,0,75.9,566.6666666666666,12.8054706,80.2247264,Budget,Affordable
chennai,12900000.0,9578.0,unknown,3,flat,velachery,new property,unfurnished,3.0,2.0,east,insignificant,freehold,1357.0,0,0,0,0,4.0,10.0,0,0.4,16.372737946851277,mid,0,0,129.0,452.3333333333333,12.9801655,80.2228506,Affordable,Mid-range
chennai,17500000.0,12892.927308447937,unknown,3,flat,pallavaram,new property,unfurnished,3.0,1.0,east,insignificant,freehold,1357.3333333333333,0,0,0,0,4.0,10.0,0,0.4,16.677711496036597,mid,0,0,175.0,452.4444444444444,12.9675742,80.1520504,Mid-range,Premium
chennai,7780000.0,6723.0,unknown,3,flat,mangadu,new property,unfurnished,2.0,2.0,west,insignificant,freehold,1157.0,0,0,0,0,4.0,10.0,0,0.4,15.86706702468927,mid,0,0,77.8,385.6666666666667,13.0209113,80.1259365,Budget,Affordable
